epoch,loss,lr,val_loss,weighted_loss
0,3.9799118041992188,0.001,2.496762275695801,51.399436950683594
1,1.939616322517395,0.0009999385,2.843003273010254,25.704181671142578
2,1.4542803764343262,0.0009997535,0.7947195172309875,19.786409378051758
3,1.2035560607910156,0.0009994456,0.6830909252166748,16.121383666992188
4,1.0168761014938354,0.0009990145,0.6331400871276855,13.18152904510498
5,0.9048041701316833,0.0009984602,0.7314647436141968,11.749589920043945
6,0.7691554427146912,0.0009977833,0.5458271503448486,9.559542655944824
7,0.6835257411003113,0.0009969836,0.490926593542099,8.114666938781738
8,0.602924108505249,0.0009960614,0.5134624242782593,6.936072826385498
9,0.5753285884857178,0.0009950169,0.43212148547172546,6.666118144989014
10,0.5099644064903259,0.0009938503,0.4239506125450134,5.620004177093506
11,0.4622960686683655,0.0009925622,0.41103488206863403,4.949503421783447
12,0.4426499009132385,0.0009911525,0.38575413823127747,4.749392509460449
