epoch,loss,lr,val_loss,weighted_loss
0,0.05171230807900429,0.001,0.09827359765768051,0.4077983796596527
1,0.05339891463518143,0.0009999389,0.09280898422002792,0.45970216393470764
2,0.05349969491362572,0.0009997557,0.10295847058296204,0.46215856075286865
3,0.05405455082654953,0.0009994506,0.0987219512462616,0.46369755268096924
4,0.05384444817900658,0.0009990233,0.10284128785133362,0.4540202021598816
5,0.053356193006038666,0.0009984741,0.1033351793885231,0.44260814785957336
6,0.05386226624250412,0.0009978032,0.10492812097072601,0.45122793316841125
7,0.05442710965871811,0.0009970107,0.1067548543214798,0.4599430561065674
8,0.05246907100081444,0.0009960969,0.10519146174192429,0.438507616519928
9,0.052158989012241364,0.0009950617,0.09429388493299484,0.4233509600162506
